word,synset
backbone,spinal_column.n.01
backbone,anchor.n.02
backbone,spine.n.04
backdrop,backdrop.n.01
background,setting.n.02
background,background.n.07
background,backdrop.n.01
background,background.n.02
backing,support.n.11
backing,backing.n.02
backing,backing.n.01
backlash,recoil.n.02
backlash,backfire.v.01
backpack,backpack.v.01
backside,buttocks.n.01
backside,rear.n.02
backstage,wing.n.03
backup,backing.n.01
backup,stand-in.n.01
backup,accompaniment.n.02
backward,backward.r.02
backward,back.r.04
backward,back.r.02
backwards,backward.r.02
backwards,back.r.02
bacteria,bacteria.n.01
bacterium,bacteria.n.01
bad,bad.s.13
bad,bad.n.01
bad,bad.s.02
bad,bad.s.10
bad,badly.r.05
bad,bad.s.14
bad,regretful.a.01
bad,bad.s.09
bad,bad.s.03
bad,bad.s.04
badger,tease.v.01
badly,badly.r.01
badly,badly.r.05
badly,ill.r.02
badly,ill.r.01
badness,bad.n.01
badness,badness.n.02
baffled,baffled.s.01
bag,bulge.v.02
bag,cup_of_tea.n.01
bag,bag.n.06
bag,bag.n.04
bag,pocket.v.02
bag,base.n.03
bail,bail.n.01
bait,tease.v.02
bait,bait.n.02
bait,bait.n.01
balance,counterweight.n.01
balance,balance.n.04
balance,remainder.n.01
balance,symmetry.n.01
balance,proportion.n.05
balancing,reconciliation.n.02
ball,ball.n.03
ball,ball.n.08
ball,ball.n.09
ball,testis.n.01
ballad,ballad.n.01
balloon,balloon.v.02
ballot,vote.n.01
ballpark,ballpark.n.01
bam,bang.n.02
ban,banish.v.01
ban,ban.v.01
ban,ban.n.04
ban,prohibition.n.02
band,ring.n.08
band,band.n.03
band,band.n.04
band,set.n.05
bandage,bandage.n.01
bandage,bind.v.04
banding,band.n.03
banding,band.n.04
bane,bane.n.01
bang,hit.n.03
bang,knock.n.03
bang,bang.n.02
bang,bang.r.01
bang,bang.n.03
bang,bang.n.04
bang,sleep_together.v.01
bang,slam.v.02
bangle,bangle.n.02
bangle,bracelet.n.02
bank,trust.v.01
bank,bank.n.07
bankroll,bankroll.n.01
bankrupt,bankrupt.v.01
banned,banned.s.01
banner,standard.n.06
banning,ban.n.04
banquet,banquet.n.01
banquet,banquet.n.02
bantam,bantam.s.01
banter,kid.v.02
bar,barricade.v.01
bar,bar.v.01
bar,measure.n.07
bar,cake.n.01
bar,barroom.n.01
bar,stripe.n.05
bar,prevention.n.01
barb,shot.n.09
barbarian,peasant.n.03
barbarian,barbarian.s.01
barbecue,barbecue.n.01
barbed,barbed.s.01
barbeque,barbecue.n.01
bare,bare.s.07
bare,bare.s.05
bare,bare.s.06
bare,bare.s.08
bare,bare.s.02
bare,plain.s.06
bare,denude.v.01
bare,bare.s.09
bare,bare.s.01
bare,publicize.v.01
barely,barely.r.01
barge,barge.n.01
bark,bark.v.03
barker,pooch.n.01
barn,barn.n.02
barrage,barrage.n.01
barrage,barrage.n.02
barter,barter.n.01
basal,basal.s.02
basal,basal.s.03
base,base.s.05
base,root.n.03
base,base.s.04
base,basis.n.02
base,base.n.10
base,basal.s.02
base,foundation.n.03
base,base.n.03
base,floor.n.03
base,base.n.08
base,nucleotide.n.01
base,base.n.14
base,infrastructure.n.02
base,establish.v.08
base,base.s.02
basement,basement.n.01
bash,bash.n.02
bash,knock.n.03
bash,sock.v.01
basic,basic.n.02
basic,basic.s.02
basics,fundamentals.n.01
basin,washbasin.n.01
basket,basket.n.03
basketball,basketball.n.01
bastard,asshole.n.01
bastard,bastard.n.02
bastard,bogus.s.01
bastion,bastion.n.02
bat,cream.v.02
bat,bat.v.02
batch,batch.n.03
batch,batch.n.02
bath,bathe.v.03
bath,bathtub.n.01
bath,bathroom.n.01
bathe,bathe.v.03
bathroom,toilet.n.01
bathroom,bathroom.n.01
bathtub,bathtub.n.01
bats,balmy.s.01
battalion,battalion.n.02
batter,batter.n.01
battery,barrage.n.02
battle,struggle.n.01
battle,battle.n.01
battlefield,battlefield.n.01
battlefront,battlefront.n.01
battleground,battlefield.n.01
bay,bay.v.02
bazaar,bazaar.n.03
beacon,beacon.n.03
bead,drop.n.01
beak,beak.n.02
beak,beak.n.04
beak,peck.v.01
beam,beam.n.04
beam,shine.v.02
beam,glow.v.02
beam,beam.n.03
beam,air.v.03
bean,attic.n.03
bear,have_a_bun_in_the_oven.v.01
bear,digest.v.03
bear,bear.v.06
bear,give_birth.v.01
bear,hold.v.11
bear,yield.v.10
bear,behave.v.02
bear,bear.v.11
bear,wear.v.02
bearer,holder.n.03
bearing,charge.n.14
bearing,bearing.n.03
bearing,bearing.n.02
bearing,carriage.n.03
beast,beast.n.02
beast,animal.n.01
beat,beat.v.04
beat,beat.v.10
beat,beat.v.08
beat,beat.v.13
beat,tick.v.02
beat,perplex.v.01
beat,beat.n.01
beat,beat.v.01
beat,outwit.v.01
beat,exhaust.v.01
beat,rhythm.n.01
beat,pulse.n.02
beat,meter.n.03
beat,drum.v.01
beat,all_in.s.01
beating,beating.n.02
beau,dandy.n.01
beau,boyfriend.n.01
beauty,smasher.n.02
beaver,beaver.n.06
beaver,dress_hat.n.01
bebop,bop.n.02
become,become.v.04
become,become.v.01
become,become.v.02
becoming,becoming.s.01
bed,sleep_together.v.01
bed,layer.n.01
bed,seam.n.03
bed,bed.n.03
bedding,bedding_material.n.01
bedlam,chaos.n.01
bedrock,fundamentals.n.01
bedroom,bedroom.n.01
beef,gripe.n.01
beef,gripe.v.01
beehive,beehive.n.02
beetle,mallet.n.03
beforehand,advance.s.01
beforehand,ahead.r.04
beg,solicit.v.01
beg,beg.v.01
begin,get_down.v.07
begin,begin.v.02
beginner,novice.n.02
beginner,founder.n.02
beginning,beginning.n.05
beginning,beginning.n.02
beginning,beginning.n.04
beginning,beginning.s.01
behave,behave.v.02
behave,act.v.02
behavior,demeanor.n.01
behind,buttocks.n.01
behind,behind.r.03
being,organism.n.01
belated,belated.s.01
belief,impression.n.01
believable,credible.a.01
believe,think.v.01
believe,believe.v.03
bell,bell.n.03
bell,doorbell.n.01
bell,chime.n.01
bellow,bellow.n.01
bellow,bellow.v.02
belly,abdomen.n.01
belong,belong.v.03
belongings,property.n.01
belt,knock.n.03
belt,knock.n.05
beltway,beltway.n.01
bench,workbench.n.01
bench,terrace.n.02
bench,judiciary.n.01
bend,fold.n.01
bend,crouch.v.01
bend,bend.n.01
bend,flex.v.05
bend,bend.v.01
bend,bend.n.03
